,track_name,track_id,by,feature,album_id,album_name,album_image,release_date,album_popularity,duration,playlist
295,I Don’t Wanna Live Forever (Fifty Shades Darker),2y5aJvzXhHPA94U5GFAcXe,ZAYN,['Taylor Swift'],5VML6S956h4YfoYPooqLEi,Fifty Shades Darker (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b2735997605214d568d73fd365c2,2017-02-10,70,245,2017
296,Six Feet Under,4mU5iXHeLgbR94siF7p1sY,The Weeknd,,2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,2016-11-25,69,237,2017
297,烈火邊緣,4E5CcxOSVIuiWN3EyAgQBg,Leslie Cheung,,2VUgyeuok6YI2VodoWjHuo,哥哥的歌,https://i.scdn.co/image/ab67616d0000b273638ba94408a5b626b817ece5,2016-09-09,16,222,2017
298,CALL ME BABY,4jdiqVbH1eUwc4MzDV7GMu,EXO,,783a1YbiWvZkD6UVFn9mtH,The 2nd Album ‘EXODUS’,https://i.scdn.co/image/ab67616d0000b2735cafee60481b5684e9b2d94e,2015-03-30,0,211,2017
299,如果沒有你,5u6hY0h8gUWfPQSdNuKgQb,Karen Mok,,67rYAc50qw4Da0Rp2PavMK,如果沒有你,https://i.scdn.co/image/ab67616d0000b273bf10556e79f297fd6527f605,2006-04-03,54,287,2017
300,Redbone,47l9wxr6RwgoTSfnseBRcf,Childish Gambino,,7Ic1NAV1DsdpNHrYeLdC3L,Redbone,https://i.scdn.co/image/ab67616d0000b27320f2c5aeee77918bf9ac0dab,2016-11-17,0,326,2016
301,Love Me Now,6hdkw1wzhIRYPlYDUtCY5m,John Legend,,6vXl3I6ZEja5hOpiygJt89,Love Me Now,https://i.scdn.co/image/ab67616d0000b2733a6b8167adef5b7b752c1554,2016-10-07,59,210,2016
302,BODY,6OT42LFV2jg3cNG0oHeONn,MINO,,14NK1iABANvhwMYrkIf6cB,The MOBB,https://i.scdn.co/image/ab67616d0000b2739eced5f513ef7a1b1a7b77a0,2016-09-08,0,199,2016
303,Blood Sweat & Tears,0oSNOJEcBIKNcQzRc5TfyR,BTS,,6CqQEpTYDf64ku45E3ry7d,WINGS,https://i.scdn.co/image/ab67616d0000b273a3c35732f506de61f1de7dcc,2016-10-10,0,217,2016
304,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,Nirvana,,2guirTSEqLizK7j9i1MTTZ,Nevermind (Remastered),https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf,1991-09-26,75,301,2016
305,The Sharpest Lives,2kMjk14RmYyYhhSbipoa9U,My Chemical Romance,,0FZK97MXMm5mUQ8mtudjuK,The Black Parade,https://i.scdn.co/image/ab67616d0000b27317f77fab7e8f18d5f9fee4a1,2006-10-23,64,200,2016
